,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-11-23 13:50:00,-8.0,0.0,0.0,0.0,46779.0880853664,57586.020000000004,-13.160000000003492,104365.1080853664,0.0
2019-11-23 13:51:00,-8.0,0.0,0.0,0.0,46652.12808536641,57649.5,-63.479999999995925,104301.6280853664,0.0
2019-11-23 13:52:00,-8.0,0.0,0.0,0.0,46721.56808536641,57614.78,34.720000000001164,104336.34808536641,0.0
2019-11-23 13:53:00,-8.0,0.0,0.0,0.0,46830.8080853664,57560.16,54.61999999999534,104390.9680853664,0.0
2019-11-23 13:54:00,-8.0,0.0,0.0,0.0,46833.208085366394,57558.96000000001,1.1999999999970896,104392.1680853664,0.0
2019-11-23 13:55:00,-8.0,0.0,0.0,0.0,46969.3280853664,57490.9,68.06000000000495,104460.2280853664,0.0
2019-11-23 13:56:00,-8.0,0.0,0.0,0.0,46974.568085366394,57488.28,2.6200000000026193,104462.8480853664,0.0
2019-11-23 13:57:00,-8.0,0.0,0.0,0.0,46972.4480853664,57489.34,-1.0599999999976717,104461.7880853664,0.0
2019-11-23 13:58:00,-8.0,0.0,0.0,0.0,47033.40808536641,57458.85999999999,30.4800000000032,104492.2680853664,0.0
2019-11-23 13:59:00,-8.0,0.0,0.0,0.0,47146.168085366415,57402.479999999996,56.37999999999738,104548.64808536641,0.0
2019-11-23 14:00:00,-8.0,0.0,0.0,0.0,47295.2080853664,57327.96,74.5199999999968,104623.1680853664,0.0
2019-11-23 14:01:00,-8.0,0.0,0.0,0.0,47267.7680853664,57341.68,-13.720000000001164,104609.4480853664,0.0
2019-11-23 14:02:00,-8.0,0.0,0.0,0.0,47285.8880853664,57332.619999999995,9.060000000004948,104618.5080853664,0.0
2019-11-23 14:03:00,-8.0,0.0,0.0,0.0,47400.528085366386,57275.3,57.31999999999243,104675.82808536639,0.0
2019-11-23 14:04:00,-8.0,0.0,0.0,0.0,47495.44808536639,57227.840000000004,47.45999999999913,104723.2880853664,0.0
2019-11-23 14:05:00,-8.0,0.0,0.0,0.0,47448.9280853664,57251.1,-23.25999999999476,104700.0280853664,0.0
2019-11-23 14:06:00,-8.0,0.0,0.0,0.0,47409.76808536639,57270.68000000001,-19.580000000009022,104680.4480853664,0.0
2019-11-23 14:07:00,-8.0,0.0,0.0,0.0,47322.408085366405,57314.36,-43.679999999993015,104636.7680853664,0.0
2019-11-23 14:08:00,-8.0,0.0,0.0,0.0,47275.928085366395,57337.600000000006,-23.24000000000524,104613.5280853664,0.0
2019-11-23 14:09:00,-8.0,0.0,0.0,0.0,47289.92808536642,57330.6,7.000000000007276,104620.52808536642,0.0
2019-11-23 14:10:00,-8.0,0.0,0.0,0.0,47296.44808536643,57327.34,3.2600000000020373,104623.78808536642,0.0
2019-11-23 14:11:00,-8.0,0.0,0.0,0.0,47250.008085366426,57350.56,-23.220000000001164,104600.56808536642,0.0
2019-11-23 14:12:00,-8.0,0.0,0.0,0.0,47144.488085366414,57403.32,-52.76000000000204,104547.80808536641,0.0
2019-11-23 14:13:00,-8.0,0.0,0.0,0.0,47121.28808536641,57414.92,-11.599999999998545,104536.20808536641,0.0
2019-11-23 14:14:00,-8.0,0.0,0.0,0.0,47145.12808536641,57403.0,11.919999999998254,104548.1280853664,0.0
2019-11-23 14:15:00,-8.0,0.0,0.0,0.0,47190.0880853664,57380.520000000004,22.479999999995925,104570.6080853664,0.0
2019-11-23 14:16:00,-8.0,0.0,0.0,0.0,47200.28808536641,57375.42,5.100000000005821,104575.70808536641,0.0
2019-11-23 14:17:00,-8.0,0.0,0.0,0.0,47092.2480853664,57429.44,-54.020000000004075,104521.6880853664,0.0
2019-11-23 14:18:00,-8.0,0.0,0.0,0.0,47015.00808536641,57468.06,-38.61999999999534,104483.06808536641,0.0
2019-11-23 14:19:00,-8.0,0.0,0.0,0.0,47025.688085366404,57462.72,5.3399999999965075,104488.4080853664,0.0
2019-11-23 14:20:00,-8.0,0.0,0.0,0.0,47116.408085366405,57417.36,45.36000000000058,104533.7680853664,0.0
2019-11-23 14:21:00,-8.0,0.0,0.0,0.0,47194.5280853664,57378.3,39.05999999999767,104572.8280853664,0.0
2019-11-23 14:22:00,-8.0,0.0,0.0,0.0,47183.48808536639,57383.82000000001,-5.5200000000040745,104567.3080853664,0.0
2019-11-23 14:23:00,-8.0,0.0,0.0,0.0,47167.84808536641,57391.64,-7.819999999992433,104559.4880853664,0.0
2019-11-23 14:24:00,-8.0,0.0,0.0,0.0,47190.5280853664,57380.3,11.339999999996508,104570.8280853664,0.0
2019-11-23 14:25:00,-8.0,0.0,0.0,0.0,47118.32808536642,57416.399999999994,-36.09999999999127,104534.72808536641,0.0
2019-11-23 14:26:00,-8.0,0.0,0.0,0.0,47055.168085366415,57447.979999999996,-31.580000000001746,104503.14808536641,0.0
2019-11-23 14:27:00,-8.0,0.0,0.0,0.0,47054.04808536641,57448.54,-0.5600000000049477,104502.58808536641,0.0
2019-11-23 14:28:00,-8.0,0.0,0.0,0.0,46988.92808536642,57481.1,-32.55999999999767,104470.02808536642,0.0
2019-11-23 14:29:00,-8.0,0.0,0.0,0.0,46955.9680853664,57497.58,-16.4800000000032,104453.5480853664,0.0
2019-11-23 14:30:00,-8.0,0.0,0.0,0.0,46961.688085366404,57494.72,2.860000000000582,104456.4080853664,0.0
2019-11-23 14:31:00,-8.0,0.0,0.0,0.0,46906.888085366416,57522.119999999995,-27.39999999999418,104429.00808536641,0.0
2019-11-23 14:32:00,-8.0,0.0,0.0,0.0,46898.44808536641,57526.34,-4.220000000001164,104424.78808536641,0.0
2019-11-23 14:33:00,-8.0,0.0,0.0,0.0,46949.888085366394,57500.62,25.719999999993888,104450.5080853664,0.0
2019-11-23 14:34:00,-8.0,0.0,0.0,0.0,47057.608085366395,57446.76,53.86000000000058,104504.3680853664,0.0
2019-11-23 14:35:00,-8.0,0.0,0.0,0.0,47049.68808536639,57450.72,-3.959999999999127,104500.40808536639,0.0
2019-11-23 14:36:00,-8.0,0.0,0.0,0.0,47024.288085366396,57463.42,-12.69999999999709,104487.7080853664,0.0
2019-11-23 14:37:00,-8.0,0.0,0.0,0.0,47028.84808536639,57461.14,2.279999999998836,104489.98808536639,0.0
2019-11-23 14:38:00,-8.0,0.0,0.0,0.0,47023.36808536639,57463.88,-2.7399999999979627,104487.24808536639,0.0
2019-11-23 14:39:00,-8.0,0.0,0.0,0.0,47010.52808536637,57470.3,-6.42000000000553,104480.82808536637,0.0
2019-11-23 14:40:00,-8.0,0.0,0.0,0.0,46965.20808536637,57492.96,-22.659999999996217,104458.16808536637,0.0
2019-11-23 14:41:00,-8.0,0.0,0.0,0.0,46947.00808536637,57502.06,-9.099999999998545,104449.06808536637,0.0
2019-11-23 14:42:00,-8.0,0.0,0.0,0.0,46924.40808536638,57513.35999999999,-11.299999999995634,104437.76808536638,0.0
2019-11-23 14:43:00,-8.0,0.0,0.0,0.0,46842.168085366364,57554.48,-41.120000000009895,104396.64808536637,0.0
2019-11-23 14:44:00,-8.0,0.0,0.0,0.0,46839.72808536636,57555.700000000004,-1.2200000000011642,104395.42808536637,0.0
